source,geography,category,type,official_api,official_feed,partnership_required,auth,public_access,commercial_use,aggregation,raw_storage,derived_data,attribution,rate_limits,pagination,freshness,historical,employer_info,salary_info,skills_info,source_quality,technical_feasibility,legal_feasibility,shipaton_value,classification,evidence
JobTech / Arbetsformedlingen,Sweden,Government,National employment service,yes,no,no,none,yes,yes,yes,yes,yes,not required,unpublished,"offset, 2000 cap",daily,no,name + org number,rare,free text,high,high,high,high,BUILD_NOW (implemented),CC0 stated in the API swagger.json
Canada Job Bank,Canada,Government,National job bank open data,no,yes (CSV),no,none,yes,yes,yes,yes,yes,required,n/a,single file per month,monthly,"yes, 88 months",none,no,NOC codes,medium,high,high,high,BUILD_NOW (implemented),CKAN license_id ca-ogl-lgo (OGL-Canada)
USAJOBS Historic,USA,Government,Federal announcements archive,yes,no,no,none (must NOT register),yes,yes,yes,yes,yes,not required,undocumented,continuation token,historic only,"yes, large",agency name,range,OPM series,medium,high,high,medium,BUILD_NOW (implemented),'does not require authorization... publicly consumable' + 17 USC 105
Teaching Vacancies (DfE),UK,Government,Sector job service,yes,no,no,none,yes,yes,yes,yes,yes,required,unpublished,page number,daily,no,DfE URN,yes,free text,high,high,high,medium,BUILD_NOW (implemented),OGL v3 declared in the API response envelope
Jobicy,Global remote,Commercial,Remote job board,yes,yes,no,none,yes,yes,yes,yes,yes,required,1/hour,none (rolling window),daily,no,name only,yes,free text,low,high,high,low,BUILD_NOW (implemented),Syndication terms grant reuse without individual permission
Greenhouse,Global,ATS,Per-company board endpoint,yes,no,unknown,none,yes,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,unknown,unpublished,none,daily,no,board token,rare,free text,high,high,none,high,NOT_FEASIBLE (disabled),No terms of any kind exist for third parties
NAV / Arbeidsplassen,Norway,Government,National employment service,yes,yes,no,bearer token,yes,yes,yes,conditional,yes,not required,unpublished,cursor (append-only),real time,yes from 2019,name + orgnr,yes,ESCO (detail endpoint),high,LOW - needs cursor persistence,high,medium,BUILD_AFTER_ACCESS (disabled),Terms name statistical use; pipeline lacks cursor persistence
France Travail,France,Government,National employment service,yes,no,no,OAuth2,registration,yes,yes,conditional,yes,required + method publication,10/sec,"offset, ~1150 cap",daily,no,yes,yes,ROME codes,high,high,high,high,BUILD_AFTER_ACCESS,Art 1.1 cedes copyright and sui generis rights for all modes of exploitation
Tyomarkkinatori (Job Market Finland),Finland,Government,National employment service,yes,no,no,OAuth2,registration,conditional,conditional,conditional,conditional,required,unpublished,unknown,daily,no,yes,yes,ESCO 1.1.0,high,high,UNRESOLVED,medium,RESEARCH_REQUIRED,Marketing clause needs KEHA written permission
Bundesagentur fur Arbeit,Germany,Government,National employment service,no (unofficial),no,no,hardcoded client id,no,no,no,no,no,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,high,none,none,high,NOT_FEASIBLE,Reverse-engineered endpoint; BA called it legally critical and added CAPTCHAs
EURES,EU,Government,EU job mobility portal,no,no,no,n/a,n/a,yes (ELA notice),unknown,unknown,unknown,required,n/a,n/a,n/a,n/a,n/a,n/a,n/a,high,none - no retrieval API,medium,high,NOT_FEASIBLE,"Re-use authorised with attribution, but no official retrieval API exists"
DWP Find a job,UK,Government,National job service,no,no,no,n/a,blocked,unknown,unknown,unknown,unknown,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,medium,none,UNRESOLVED,medium,NOT_FEASIBLE,No public API; automated access refused connections
UWV Open Match Data,Netherlands,Government,Aggregate vacancy data,no,yes (ZIP),no,none,yes,yes,yes,yes,yes,required,n/a,weekly files,weekly,yes,none,no,occupation codes,medium,high,high,low,RESEARCH_REQUIRED,CC-BY 4.0 but AGGREGATE ONLY - not postings
jobindsats.dk,Denmark,Government,Labour market statistics,yes,no,no,key by email,registration,yes,yes,yes,yes,required,unknown,unknown,monthly,yes,none,no,none,medium,high,UNRESOLVED,low,RESEARCH_REQUIRED,CC-BY-equivalent stated; binding guidelines issued with key. AGGREGATE ONLY
